date,ticker,price
2024-01-01,AAPL,149.6351186337802
2024-01-02,AAPL,149.75074505198512
2024-01-03,AAPL,148.4334177920275
2024-01-04,AAPL,149.08896615850662
2024-01-05,AAPL,150.2713170261836
2024-01-06,AAPL,150.21725247277266
2024-01-07,AAPL,151.00497741040044
2024-01-08,AAPL,150.61380561359144
2024-01-09,AAPL,150.0618221708411
2024-01-10,AAPL,149.56698594505846
2024-01-11,AAPL,148.53033833090237
2024-01-12,AAPL,146.35744259551868
2024-01-13,AAPL,145.6058329338755
2024-01-14,AAPL,145.6434504011018
2024-01-15,AAPL,146.28448363772458
2024-01-16,AAPL,146.65971396474544
2024-01-17,AAPL,146.4341002419961
2024-01-18,AAPL,147.09273446272599
2024-01-19,AAPL,146.28853542093515
2024-01-20,AAPL,146.30316422133984
